emp_no,first_name,last_name,birth_date,from_date,to_date,title
10007,Tzvetan,Zielinski,1957-05-23,1989-02-10,9999-01-01,Senior Staff
10013,Eberhardt,Terkki,1963-06-07,1985-10-20,9999-01-01,Senior Staff
10017,Cristinel,Bouloucos,1958-07-06,1993-08-03,9999-01-01,Senior Staff
10036,Adamantios,Portugali,1959-08-10,1992-04-28,9999-01-01,Senior Staff
10038,Huan,Lortz,1960-07-20,1989-09-20,9999-01-01,Senior Staff
10039,Alejandro,Brender,1959-10-01,1988-01-19,9999-01-01,Senior Staff
10041,Uri,Lenart,1959-08-27,1989-11-12,9999-01-01,Senior Staff
10046,Lucien,Rosenbaum,1960-07-23,1992-06-20,9999-01-01,Senior Staff
10049,Basil,Tramer,1961-04-24,1992-05-04,9999-01-01,Senior Staff
10050,Yinghua,Dredge,1958-05-21,1992-11-05,9999-01-01,Senior Staff
10052,Heping,Nitsch,1961-02-26,1997-01-31,9999-01-01,Senior Staff
10054,Mayumi,Schueller,1957-04-04,1995-07-29,9999-01-01,Senior Staff
10060,Breannda,Billingsley,1961-10-15,1992-11-11,9999-01-01,Senior Staff
10061,Tse,Herber,1962-10-19,1989-12-02,9999-01-01,Senior Staff
10068,Charlene,Brattka,1962-11-26,1987-08-07,9999-01-01,Senior Staff
10080,Premal,Baek,1957-12-03,1997-07-09,9999-01-01,Senior Staff
10086,Somnath,Foote,1962-11-19,1992-02-19,9999-01-01,Senior Staff
10089,Sudharsan,Flasterstein,1963-03-21,1989-01-10,9999-01-01,Senior Staff
10095,Hilari,Morton,1965-01-03,1994-03-10,9999-01-01,Senior Staff
10099,Valter,Sullins,1956-05-25,1988-10-18,9999-01-01,Senior Staff
10104,Xinyu,Warwick,1961-11-19,1987-04-16,9999-01-01,Senior Staff
10107,Dung,Baca,1956-06-13,1999-03-30,9999-01-01,Senior Staff
10110,Xuejia,Ullian,1957-03-07,1986-08-22,9999-01-01,Senior Staff
10114,Munir,Demeyer,1957-02-16,1992-07-17,9999-01-01,Senior Staff
10128,Babette,Lamba,1958-02-15,1988-06-06,9999-01-01,Senior Staff
10137,Maren,Hutton,1959-07-30,1985-02-18,9999-01-01,Senior Staff
10140,Yucel,Auria,1957-03-11,1991-03-14,9999-01-01,Senior Staff
10141,Shahaf,Ishibashi,1960-01-17,1998-07-23,9999-01-01,Senior Staff
10147,Kazuhito,Encarnacion,1964-10-13,1987-12-18,9999-01-01,Senior Staff
10151,Itzchak,Lichtner,1959-03-06,1992-12-12,9999-01-01,Senior Staff
10155,Adas,Nastansky,1959-12-07,1990-07-12,9999-01-01,Senior Staff
10165,Miyeon,Macedo,1960-06-16,1988-05-17,9999-01-01,Senior Staff
10168,Dharmaraja,Stassinopoulos,1964-09-11,1986-12-06,9999-01-01,Senior Staff
10173,Shrikanth,Mahmud,1962-10-28,1992-03-21,9999-01-01,Senior Staff
10176,Brendon,Lenart,1957-01-24,1994-12-22,9999-01-01,Senior Staff
10180,Shaw,Wendorf,1956-01-29,1994-07-01,9999-01-01,Senior Staff
10185,Duro,Sidhu,1959-12-05,1986-03-01,9999-01-01,Senior Staff
10187,Tommaso,Narwekar,1961-05-26,1991-06-01,9999-01-01,Senior Staff
10209,Yolla,Ellozy,1956-12-12,1999-08-07,9999-01-01,Senior Staff
10210,Yuping,Alpin,1958-01-24,1996-02-24,9999-01-01,Senior Staff
10214,Tadahiko,Ciolek,1962-04-14,1988-02-29,9999-01-01,Senior Staff
10216,Amstein,Ghemri,1958-07-16,1987-10-30,9999-01-01,Senior Staff
10232,Marko,Auria,1956-03-11,1992-06-04,9999-01-01,Senior Staff
10241,Ortrud,Murillo,1958-07-01,1988-06-12,9999-01-01,Senior Staff
10243,Wonhee,Pouyioutas,1960-12-22,1986-06-07,9999-01-01,Senior Staff
10251,Alair,Rosenbaum,1957-04-25,1992-06-25,9999-01-01,Senior Staff
10254,Shen,Brattka,1959-12-07,1990-06-14,9999-01-01,Senior Staff
10256,Irene,Radhakrishnan,1960-12-02,1985-10-12,9999-01-01,Senior Staff
10270,Bedir,Hartvigsen,1963-01-30,1991-09-26,9999-01-01,Senior Staff
10273,Baocai,Lieblein,1962-08-29,1985-11-06,9999-01-01,Senior Staff
10277,Isaac,Schwartzbauer,1964-08-15,1985-06-16,9999-01-01,Senior Staff
10287,Marie,Pietracaprina,1963-11-28,1997-09-05,9999-01-01,Senior Staff
10291,Dipayan,Seghrouchni,1965-01-23,1987-03-30,9999-01-01,Senior Staff
10292,Yucel,Ghelli,1963-01-27,1989-06-05,9999-01-01,Senior Staff
10296,Petter,Lorho,1964-05-13,1989-09-16,9999-01-01,Senior Staff
10299,Ipke,Stentiford,1960-06-21,1990-01-10,9999-01-01,Senior Staff
10301,Lucien,Staudhammer,1962-08-26,1988-05-23,9999-01-01,Senior Staff
10308,Dzung,Holburn,1961-03-14,1992-12-29,9999-01-01,Senior Staff
10314,Christfried,Apsitis,1961-05-04,1986-01-16,9999-01-01,Senior Staff
10319,Mechthild,Miyakawa,1963-03-09,1994-06-18,9999-01-01,Senior Staff
10331,Arto,Binkley,1961-08-12,1986-10-29,9999-01-01,Senior Staff
10335,Toshimori,Bahi,1963-03-13,1999-11-07,9999-01-01,Senior Staff
10361,Seshu,Sidou,1961-04-22,1986-10-23,9999-01-01,Senior Staff
10370,Clyde,Fandrianto,1957-08-03,1992-04-18,9999-01-01,Senior Staff
10375,Dante,Kalafatis,1957-10-09,1994-05-29,9999-01-01,Senior Staff
10378,Takahira,Lichtner,1964-09-05,1992-08-31,9999-01-01,Senior Staff
10380,Alejandro,Kamble,1956-05-25,1985-03-19,9999-01-01,Senior Staff
10384,Feiyu,Luft,1956-08-22,1986-01-16,9999-01-01,Senior Staff
10398,Shooichi,Escriba,1958-07-16,1990-10-12,9999-01-01,Senior Staff
10400,Ortrud,Nitto,1961-12-16,1993-10-17,9999-01-01,Senior Staff
10411,Lidong,Klerer,1956-07-10,1989-09-02,9999-01-01,Senior Staff
10416,Uli,Keustermans,1956-05-26,1989-03-24,9999-01-01,Senior Staff
10421,Divine,Marzano,1959-03-22,1990-04-07,9999-01-01,Senior Staff
10427,Khosrow,Sudbeck,1958-08-13,1994-10-03,9999-01-01,Senior Staff
10428,Cathie,Brlek,1957-06-25,1992-06-04,9999-01-01,Senior Staff
10431,Patricio,Bugrara,1961-05-25,1987-10-08,9999-01-01,Senior Staff
10436,Yahiko,Lammel,1963-06-17,1988-01-30,9999-01-01,Senior Staff
10448,Phule,Oxenboll,1963-12-10,1992-03-12,9999-01-01,Senior Staff
10449,Aleksandar,Sudkamp,1959-09-28,1996-03-12,9999-01-01,Senior Staff
10454,Wonhee,Badr,1961-01-22,1989-04-16,9999-01-01,Senior Staff
10455,Sverrir,Streng,1963-12-17,1995-02-19,9999-01-01,Senior Staff
10458,Gina,Engelmann,1961-01-06,1994-07-05,9999-01-01,Senior Staff
10461,Gal,Karcich,1956-10-26,1987-08-03,9999-01-01,Senior Staff
10464,Mang,Maginnis,1962-09-04,1991-05-21,9999-01-01,Senior Staff
10465,Claudi,Shackel,1963-03-13,1994-12-11,9999-01-01,Senior Staff
10468,Yoshimitsu,Shobatake,1960-08-28,1991-05-28,9999-01-01,Senior Staff
10476,Kokou,Iisaka,1965-01-01,1987-09-20,9999-01-01,Senior Staff
10478,Maik,Ushiama,1957-03-08,1993-02-10,9999-01-01,Senior Staff
10484,Nirmal,Varley,1961-08-30,1996-12-20,9999-01-01,Senior Staff
10490,Huiqun,Vuskovic,1961-09-28,1992-11-22,9999-01-01,Senior Staff
10491,Garnik,Narahari,1964-09-09,1990-01-17,9999-01-01,Senior Staff
10493,Maris,Haraldson,1962-01-12,1998-10-29,9999-01-01,Senior Staff
10507,Kasidit,Belinskaya,1964-02-18,1990-09-30,9999-01-01,Senior Staff
10510,Keung,Slobodova,1960-02-13,1992-09-21,9999-01-01,Senior Staff
10513,Yuichiro,Schicker,1959-07-07,1991-04-02,9999-01-01,Senior Staff
10521,Kwangsub,Setia,1957-07-31,1989-05-11,9999-01-01,Senior Staff
10532,Mary,Wossner,1959-08-31,1986-05-18,9999-01-01,Senior Staff
10533,Mohamadou,Smailagic,1963-06-25,1990-08-17,9999-01-01,Senior Staff
10535,Shalesh,Stroustrup,1961-05-19,1991-08-22,9999-01-01,Senior Staff
10536,Yechiam,Sambasivam,1964-10-29,1988-10-07,9999-01-01,Senior Staff
10537,Stella,Benzmuller,1962-06-29,1996-09-25,9999-01-01,Senior Staff
10539,Yucel,Reinhard,1959-05-13,1990-06-05,9999-01-01,Senior Staff
10544,Ishfaq,Krzyzanowski,1962-02-01,1995-04-29,9999-01-01,Senior Staff
10546,Nechama,Schapiro,1957-12-20,1991-04-14,9999-01-01,Senior Staff
10556,JoAnna,Taubman,1962-12-31,1992-04-15,9999-01-01,Senior Staff
10561,Serge,Joslin,1958-09-07,1997-06-30,9999-01-01,Senior Staff
10567,Dietrich,Journel,1957-05-21,1997-02-17,9999-01-01,Senior Staff
10569,Sreenivas,Bashian,1962-12-03,1987-03-13,9999-01-01,Senior Staff
10574,Salvador,Olano,1960-11-11,1999-11-15,9999-01-01,Senior Staff
10576,Xiaoqiu,Krychniak,1957-08-23,1991-01-03,9999-01-01,Senior Staff
10577,Ennio,Schmiedel,1957-09-20,2001-08-01,9999-01-01,Senior Staff
10580,Christoper,Rehfuss,1956-05-28,1991-03-02,9999-01-01,Senior Staff
10589,Subbu,Sanella,1958-09-25,1994-01-26,9999-01-01,Senior Staff
10590,Yongqiao,Kalloufi,1963-10-01,1986-04-09,9999-01-01,Senior Staff
10597,Lucien,Schaad,1961-05-07,1990-04-01,9999-01-01,Senior Staff
10600,Emran,Rettelbach,1963-08-17,1992-04-27,9999-01-01,Senior Staff
10619,Vivian,Kusakabe,1961-04-27,1993-04-09,9999-01-01,Senior Staff
10627,Shigeu,Itzfeldt,1962-10-06,1995-03-13,9999-01-01,Senior Staff
10638,Jenwei,Borovoy,1960-11-04,1994-11-10,9999-01-01,Senior Staff
10640,Anneke,Meszaros,1958-11-09,1992-12-04,9999-01-01,Senior Staff
10646,Uri,Chorvat,1957-11-24,1996-01-31,9999-01-01,Senior Staff
10649,Vitali,Welham,1956-03-25,1998-06-23,9999-01-01,Senior Staff
10651,Zijian,Maginnis,1958-12-31,1996-01-08,9999-01-01,Senior Staff
10655,Remko,Dalton,1959-02-02,2000-11-22,9999-01-01,Senior Staff
