emp_no,first_name,last_name,birth_date,from_date,to_date,title
10095,Hilari,Morton,1965-01-03,1994-03-10,9999-01-01,Staff
10122,Ohad,Esposito,1965-01-19,1998-08-06,9999-01-01,Technique Leader
10663,Teunis,Noriega,1965-01-09,1999-02-12,9999-01-01,Technique Leader
12155,Keiichiro,Glinert,1965-01-21,1993-09-16,9999-01-01,Engineer
12643,Morrie,Schurmann,1965-01-30,1998-12-31,9999-01-01,Staff
13499,Kazuhiko,Sidou,1965-01-16,1991-09-01,9999-01-01,Technique Leader
14075,Denny,Tchuente,1965-01-03,1991-05-30,9999-01-01,Assistant Engineer
14127,Magdalena,Cannard,1965-01-10,1994-04-22,9999-01-01,Engineer
14476,Sastry,Marrevee,1965-01-19,1999-09-25,9999-01-01,Engineer
15050,Nikolaos,Kruskal,1965-01-18,1990-12-17,9999-01-01,Engineer
15413,Arvin,Rabejac,1965-01-17,1994-01-01,9999-01-01,Engineer
16528,Gaurav,Swick,1965-01-21,1996-05-07,9999-01-01,Assistant Engineer
17206,Berry,DeMori,1965-01-02,1992-12-27,9999-01-01,Engineer
17369,Yaghout,Kenevan,1965-01-31,2000-09-15,9999-01-01,Engineer
17447,Zengping,Boreale,1965-01-11,1998-12-16,9999-01-01,Staff
17731,Gennady,Roison,1965-01-16,1989-12-06,9999-01-01,Assistant Engineer
17970,Filipp,Carrere,1965-01-06,1989-01-09,9999-01-01,Technique Leader
17988,Mabhin,Calkin,1965-01-31,1989-11-30,9999-01-01,Engineer
18021,Adil,Matzke,1965-01-07,1987-05-08,9999-01-01,Engineer
18424,Filipp,Rousseau,1965-01-19,1995-06-07,9999-01-01,Engineer
18583,Stafford,Honglei,1965-01-03,1998-08-16,9999-01-01,Staff
18810,Taiji,Jarecki,1965-01-09,1991-06-27,9999-01-01,Engineer
19236,Elzbieta,Morris,1965-01-24,1988-07-12,9999-01-01,Engineer
19803,Ziva,Kowalchuk,1965-01-30,1987-06-13,9999-01-01,Engineer
20129,Rafael,Skafidas,1965-01-10,1991-03-28,9999-01-01,Engineer
20248,Vidar,Demri,1965-01-12,1999-12-31,9999-01-01,Staff
20313,Candida,Benveniste,1965-01-24,1999-01-20,9999-01-01,Engineer
20885,Otmar,Rothenberg,1965-01-21,1989-03-14,9999-01-01,Engineer
21181,Jianhui,Cangellaris,1965-01-21,1991-10-06,9999-01-01,Assistant Engineer
21188,Piyush,Danecki,1965-01-21,2000-01-08,9999-01-01,Engineer
22185,Huai,Birch,1965-01-29,2002-06-12,9999-01-01,Assistant Engineer
22926,Manibrata,Genther,1965-01-01,1988-01-15,9999-01-01,Engineer
23396,Hilari,Fairtlough,1965-01-02,1986-12-15,9999-01-01,Technique Leader
24080,Jaana,Perez,1965-01-26,1996-03-11,9999-01-01,Technique Leader
24377,Lubomir,Wroclawski,1965-01-25,1993-07-25,9999-01-01,Engineer
24394,Zhonghui,Conta,1965-01-04,1994-09-10,9999-01-01,Staff
24571,Cordelia,Gischer,1965-01-20,1989-03-14,9999-01-01,Engineer
26671,Jiakeng,Kalorkoti,1965-01-21,1994-12-25,9999-01-01,Engineer
26788,Zongyan,Dalphin,1965-01-25,1988-04-23,9999-01-01,Engineer
27620,Shuji,Kandlur,1965-01-25,1990-03-02,9999-01-01,Engineer
27699,Falguni,Pezzoli,1965-01-15,1996-12-23,9999-01-01,Engineer
28193,Xinglin,Mitsuhashi,1965-01-29,1988-12-14,9999-01-01,Engineer
28988,Tua,Giveon,1965-01-18,1998-09-09,9999-01-01,Technique Leader
29130,Xumin,Thorensen,1965-01-06,1998-04-26,9999-01-01,Staff
29380,Satoru,Vidal,1965-01-30,1998-05-02,9999-01-01,Assistant Engineer
29418,Valery,Mersereau,1965-01-22,1998-07-01,9999-01-01,Assistant Engineer
30007,Kousuke,Vecchio,1965-01-24,1990-02-23,9999-01-01,Engineer
30154,Mayuko,Skafidas,1965-01-26,1999-04-19,9999-01-01,Technique Leader
30182,Leon,Potthoff,1965-01-26,1985-12-08,9999-01-01,Engineer
30465,Randi,Avouris,1965-01-28,1986-07-16,9999-01-01,Engineer
30484,Sailaja,Chvatal,1965-01-11,1999-05-18,9999-01-01,Staff
31188,Leandro,Gist,1965-01-12,1993-02-03,9999-01-01,Technique Leader
31514,Harngdar,Schapire,1965-01-13,1996-11-09,9999-01-01,Engineer
31568,Mark,Lalonde,1965-01-10,1996-11-24,9999-01-01,Staff
31909,Murthy,Peek,1965-01-10,2000-10-30,9999-01-01,Engineer
32347,Terresa,Peres,1965-01-08,1990-09-15,9999-01-01,Staff
32552,Atreye,Stanger,1965-01-17,1993-09-10,9999-01-01,Assistant Engineer
32714,Radoslaw,Maliniak,1965-01-16,2001-09-18,9999-01-01,Staff
32844,Tadahiko,Melton,1965-01-23,1995-01-07,9999-01-01,Engineer
33215,Steen,Fasbender,1965-01-29,1993-02-14,9999-01-01,Technique Leader
34452,Naftaly,Foong,1965-01-08,1991-05-10,9999-01-01,Engineer
34936,Bokyung,Stamatiou,1965-01-12,1991-02-12,9999-01-01,Technique Leader
35044,Jiang,Waschkowski,1965-01-04,1989-05-27,9999-01-01,Engineer
36733,Uma,Reinhard,1965-01-04,1997-11-01,9999-01-01,Staff
36844,Hailing,Levergood,1965-01-01,2000-01-12,9999-01-01,Staff
36982,Kotesh,Rajala,1965-01-22,1992-06-23,9999-01-01,Engineer
38043,Michaela,Randi,1965-01-05,1985-11-23,9999-01-01,Engineer
38103,Masasuke,Babu,1965-01-12,1988-03-31,9999-01-01,Engineer
38593,Huei,Orsini,1965-01-14,1986-06-04,9999-01-01,Engineer
39036,Changho,Cappelli,1965-01-08,1996-05-04,9999-01-01,Staff
39341,Mahmut,Lampe,1965-01-01,1985-05-11,9999-01-01,Engineer
39952,Otmar,Sudbeck,1965-01-02,1998-07-22,9999-01-01,Staff
40283,Sudhanshu,Boissier,1965-01-07,1985-05-11,9999-01-01,Engineer
40536,Harngdar,Bernardinello,1965-01-20,1988-02-29,9999-01-01,Engineer
40773,Shimshon,Aingworth,1965-01-09,1986-04-13,9999-01-01,Staff
40983,Marla,Cherinka,1965-01-17,1986-12-01,9999-01-01,Technique Leader
41114,Petter,Thummel,1965-01-25,1995-12-24,9999-01-01,Technique Leader
41357,Willard,Vernadat,1965-01-06,1997-03-04,9999-01-01,Engineer
42911,Brigham,Eterovic,1965-01-29,1994-10-08,9999-01-01,Engineer
42955,Yucel,Lortz,1965-01-12,1995-02-21,9999-01-01,Engineer
43848,Phillip,Oxenboll,1965-01-11,1999-05-26,9999-01-01,Engineer
44054,Alenka,Ritcey,1965-01-18,1997-02-09,9999-01-01,Engineer
44265,Maria,Eppinger,1965-01-24,1997-01-30,9999-01-01,Engineer
44959,Volkmar,Uhrik,1965-01-21,1988-01-16,9999-01-01,Engineer
44962,Sariel,Wynblatt,1965-01-16,1996-05-18,9999-01-01,Assistant Engineer
45162,Dulce,Speel,1965-01-11,1987-10-19,9999-01-01,Engineer
46943,Pasqua,Maraist,1965-01-31,1993-12-06,9999-01-01,Engineer
47139,Marco,Usdin,1965-01-25,1996-10-29,9999-01-01,Engineer
47262,Gonzalo,Binkley,1965-01-10,1985-08-16,9999-01-01,Engineer
47702,Juyoung,Vieri,1965-01-21,1991-08-12,9999-01-01,Staff
48275,Sariel,Massonet,1965-01-29,1987-11-20,9999-01-01,Staff
48690,Hitomi,Schaap,1965-01-12,1999-09-27,9999-01-01,Staff
49017,Filipp,Flanders,1965-01-07,1990-11-26,9999-01-01,Engineer
49119,Lena,Peek,1965-01-09,1991-05-16,9999-01-01,Engineer
49177,Tze,Bach,1965-01-03,1999-03-09,9999-01-01,Engineer
49464,Siddarth,Cappelletti,1965-01-14,1999-09-10,9999-01-01,Staff
50293,Xinan,Rindone,1965-01-26,1996-10-08,9999-01-01,Engineer
50453,Aron,Harbusch,1965-01-12,1997-10-02,9999-01-01,Staff
51036,Chriss,Fasbender,1965-01-29,1995-05-23,9999-01-01,Staff
51060,Youngkon,Rohrbach,1965-01-15,1989-10-20,9999-01-01,Engineer
52040,Phule,Heijenga,1965-01-14,1996-12-08,9999-01-01,Staff
52599,Augustine,Mungall,1965-01-25,1994-01-13,9999-01-01,Engineer
52778,Alain,Penn,1965-01-15,1986-05-03,9999-01-01,Technique Leader
