emp_no,first_name,last_name,birth_date,from_date,to_date,title
10291,Dipayan,Seghrouchni,1965-01-23,1987-03-30,9999-01-01,Senior Staff
10476,Kokou,Iisaka,1965-01-01,1987-09-20,9999-01-01,Senior Staff
10762,Lech,Himler,1965-01-19,1992-01-21,9999-01-01,Senior Staff
10933,Juyoung,Seghrouchni,1965-01-24,1993-08-02,9999-01-01,Senior Engineer
12408,Rasiah,Sudkamp,1965-01-10,1995-04-18,9999-01-01,Senior Engineer
14104,Sudhanshu,Demian,1965-01-03,1994-07-23,9999-01-01,Senior Staff
14158,Caolyn,Setiz,1965-01-22,1990-02-06,9999-01-01,Senior Staff
14907,Nakhoon,Luga,1965-01-14,1986-12-18,9999-01-01,Senior Staff
15058,Bouchung,Bugrara,1965-01-30,1990-06-18,9999-01-01,Senior Staff
16461,Remmert,Schahn,1965-01-14,1986-09-06,9999-01-01,Senior Staff
17013,Morris,Garigliano,1965-01-15,1995-05-24,9999-01-01,Senior Staff
18617,Surveyors,Crouzet,1965-01-21,1989-04-24,9999-01-01,Senior Staff
19350,Satoru,Yoshizawa,1965-01-19,1994-03-27,9999-01-01,Senior Staff
20100,Utz,Heuter,1965-01-18,1986-06-15,9999-01-01,Senior Staff
20128,Kazunori,Peak,1965-01-23,1999-08-13,9999-01-01,Senior Staff
20500,Christoph,Trystram,1965-01-30,1993-10-15,9999-01-01,Senior Staff
21546,Yongmin,Lanteri,1965-01-01,2002-03-19,9999-01-01,Senior Staff
21843,Karsten,Azadmanesh,1965-01-09,1985-11-29,9999-01-01,Senior Engineer
21909,Mohammed,Brizzi,1965-01-04,1991-12-28,9999-01-01,Senior Staff
22415,Perla,Jumpertz,1965-01-20,1994-08-24,9999-01-01,Senior Staff
22451,Jasminko,Bresenham,1965-01-27,1994-01-19,9999-01-01,Senior Staff
22455,Barry,Unno,1965-01-06,1990-11-16,9999-01-01,Senior Staff
24205,Roddy,Rubsam,1965-01-25,1993-09-19,9999-01-01,Senior Engineer
24553,Anwar,Passafiume,1965-01-12,1987-01-30,9999-01-01,Senior Staff
25488,Ingmar,Basawa,1965-01-19,1991-11-09,9999-01-01,Senior Staff
26629,Nevin,Rodham,1965-01-28,1998-12-14,9999-01-01,Senior Staff
27331,Wanqing,Krohm,1965-01-19,1991-01-22,9999-01-01,Senior Staff
27378,Piyawadee,Leppanen,1965-01-28,1999-02-25,9999-01-01,Senior Staff
27686,Manu,Rosiles,1965-01-28,1998-03-03,9999-01-01,Senior Staff
27767,Tooru,Veldwijk,1965-01-27,1993-11-21,9999-01-01,Senior Staff
28974,Chenxi,Sundgren,1965-01-09,1986-09-02,9999-01-01,Senior Engineer
29265,Gilbert,Calkin,1965-01-14,1988-03-21,9999-01-01,Senior Staff
29679,Kolar,Steenbeek,1965-01-17,1986-10-18,9999-01-01,Senior Engineer
29782,Jouko,Hellwagner,1965-01-29,2000-10-23,9999-01-01,Senior Engineer
29954,Pranay,Giarratana,1965-01-27,1992-09-29,9999-01-01,Senior Engineer
30035,Tetsushi,Conta,1965-01-08,1995-07-04,9999-01-01,Senior Staff
30695,Gudjon,Majewski,1965-01-08,1999-10-26,9999-01-01,Senior Engineer
30938,Yakkov,Samarati,1965-01-06,1997-10-10,9999-01-01,Senior Staff
31147,Divine,Sidhu,1965-01-04,1989-07-05,9999-01-01,Senior Staff
31207,Abdelwaheb,Dulin,1965-01-30,1993-08-05,9999-01-01,Senior Engineer
31341,Oksana,Zultner,1965-01-01,1991-03-23,9999-01-01,Senior Staff
32649,Ingmar,Nannarelli,1965-01-12,1988-06-10,9999-01-01,Senior Staff
33025,Jessie,Thorelli,1965-01-12,1999-12-16,9999-01-01,Senior Staff
34077,Angel,Sichman,1965-01-08,1988-11-16,9999-01-01,Senior Staff
34261,Kyoichi,Callaway,1965-01-05,1990-12-30,9999-01-01,Senior Staff
34446,Chinhyun,Bauknecht,1965-01-31,1986-12-19,9999-01-01,Senior Engineer
34505,Felicidad,Kumaresan,1965-01-28,1994-09-06,9999-01-01,Senior Staff
34788,Ennio,Babu,1965-01-27,1994-08-31,9999-01-01,Senior Engineer
35087,Leif,Ashish,1965-01-17,1994-10-14,9999-01-01,Senior Staff
35793,Oscar,Kusalik,1965-01-01,1991-05-11,9999-01-01,Senior Staff
35798,Ulf,Oberman,1965-01-29,1997-03-15,9999-01-01,Senior Engineer
36521,Serif,Gladwell,1965-01-21,1987-03-06,9999-01-01,Senior Staff
36626,Fen,Genin,1965-01-02,1986-05-09,9999-01-01,Senior Staff
37070,Jeong,Undy,1965-01-22,1985-02-13,9999-01-01,Senior Staff
37945,Suzette,Butterworth,1965-01-02,1994-02-19,9999-01-01,Senior Engineer
38168,Fumiko,Deverell,1965-01-14,1987-08-15,9999-01-01,Senior Staff
38550,JoAnne,Baez,1965-01-14,1987-02-16,9999-01-01,Senior Engineer
38947,Shuichi,Ruemmler,1965-01-25,1998-04-08,9999-01-01,Senior Staff
39000,Martijn,Vendrig,1965-01-08,1997-03-03,9999-01-01,Senior Staff
39301,Rimon,Kawashima,1965-01-07,1992-02-06,9999-01-01,Senior Staff
40269,Toshiki,Ghazalie,1965-01-10,1991-12-05,9999-01-01,Senior Staff
40765,Michaela,Ramsak,1965-01-01,1992-12-21,9999-01-01,Senior Staff
41518,Keung,Schapiro,1965-01-11,2001-02-08,9999-01-01,Senior Engineer
41520,Xiong,Uhrik,1965-01-20,1988-03-21,9999-01-01,Senior Engineer
41609,Yucai,Simmen,1965-01-04,1987-10-13,9999-01-01,Senior Staff
42778,Shuji,Remmers,1965-01-19,1987-12-18,9999-01-01,Senior Staff
42950,Shaleah,Eickenmeyer,1965-01-22,1993-10-09,9999-01-01,Senior Staff
43154,Maha,Waterhouse,1965-01-13,1997-07-04,9999-01-01,Senior Staff
43733,Huei,Boguraev,1965-01-26,1993-12-31,9999-01-01,Senior Staff
